run_date,row_index,pot_id,pot_number,source_asset_id,photo_url,image_path,matched_variant_count,ensemble_numbers_detected,task,full_crop_path,center_crop_path,label_crop_path
2026-02-28,73,15T,15,AF1QipPANAWdUHUA6Rb2gGxOnLzUlzrK2MW9Jxb-gwWa,https://lh3.googleusercontent.com/pw/AP1GczN52YRhIhvlyY5al0GkLisabuA1a_C8ptrZZ-QbMuuA30ohXdgMQUjqhnXyoKgHPMJvNEEdx3Mh5Y822LUFa9FJy7IpDezTjQs6b7jd9dDKjiz_M4MV,local/non_tomato_species/images/73_AF1QipPANAWdUHUA6Rb2gGxOnLzUlzrK2MW9Jxb-gwWa.jpg,0,"1,2,4,5,7,8",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_15T_73_AF1QipPA_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_15T_73_AF1QipPA_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_15T_73_AF1QipPA_label.jpg
2026-02-28,74,16T,16,AF1QipP2RYAT4X4c-NDudcJktwxOEUxql5rQeL15BA2d,https://lh3.googleusercontent.com/pw/AP1GczPI1bG4WygICv3uPG0--gTOkw1srdNTZ_-HGvoMiP5c8j14KHJKl3n3_Y7CmA4JoM-Kjkahbcd3mwpYwUt63h2JQTq_PFp1KEcqGQxx9ac3PWQTZrdu,local/non_tomato_species/images/74_AF1QipP2RYAT4X4c-NDudcJktwxOEUxql5rQeL15BA2d.jpg,0,"2,4,7,20,32",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_16T_74_AF1QipP2_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_16T_74_AF1QipP2_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_16T_74_AF1QipP2_label.jpg
2026-02-28,75,17T,17,AF1QipPt-NKTgu4l7exf9nLGOkV_cyNzDV83exVU6qIp,https://lh3.googleusercontent.com/pw/AP1GczMD9Xtp60Z4lZH9k1BOiw-9pIQwN7OA7DorrdClmz0e2-QbW5IBUauxaLHJdgepKEzqapXaASPXRsrot0w5NkaWUNvTIZjnqpwViBqEANj3OvNm-zki,local/non_tomato_species/images/75_AF1QipPt-NKTgu4l7exf9nLGOkV_cyNzDV83exVU6qIp.jpg,0,3,human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_17T_75_AF1QipPt_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_17T_75_AF1QipPt_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_17T_75_AF1QipPt_label.jpg
2026-02-28,76,18T,18,AF1QipM3K_2eWKR3kFYVV0WlwN2N_K4-6RcdKO14KMcg,https://lh3.googleusercontent.com/pw/AP1GczNvZ5mZa0QC34fYB9VpJnRmLoTDmU_Elfl-MWrkr0Vg9GR8zYkdWJi4X5FY8qXUJDn5tm0khB7qLzXgWFZv0RHBHUNjwnraafXM-p5witHg2qduZF3u,local/non_tomato_species/images/76_AF1QipM3K_2eWKR3kFYVV0WlwN2N_K4-6RcdKO14KMcg.jpg,0,"2,7,8",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_18T_76_AF1QipM3_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_18T_76_AF1QipM3_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_18T_76_AF1QipM3_label.jpg
2026-02-28,77,19T,19,AF1QipNMQsEruJledTyWMij7GISvUPBwhasq7B0JWtMm,https://lh3.googleusercontent.com/pw/AP1GczMUsJ3MMwctsUX6z0FCsppSCdVFbczMLSuONaG36LvYqnOn58JIjF7IFENa-nwzImGSXBoxpgTP3W2mFhkjXl3BvTFKwq3okJV-84_QKoc2yTsaNDzh,local/non_tomato_species/images/77_AF1QipNMQsEruJledTyWMij7GISvUPBwhasq7B0JWtMm.jpg,0,"2,4,5,7,9,16",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_19T_77_AF1QipNM_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_19T_77_AF1QipNM_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_19T_77_AF1QipNM_label.jpg
2026-02-28,78,20T,20,AF1QipMHqWeE93q9Ovs7OXkLreQyw8t1TVWR_HfNzrv1,https://lh3.googleusercontent.com/pw/AP1GczPkon3TuM0qbb8YYdhwgzzVK3bGUtVA3eAT74PWGy-1uWrJ9QoBhU-FOkkZYg5YuLkJErE8EzyvsVZn5kqUrQiU4rm1VXLlxJrqwkKxA7CMVEhtcLmd,local/non_tomato_species/images/78_AF1QipMHqWeE93q9Ovs7OXkLreQyw8t1TVWR_HfNzrv1.jpg,0,"1,2,4,5,7,27",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_20T_78_AF1QipMH_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_20T_78_AF1QipMH_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_20T_78_AF1QipMH_label.jpg
2026-02-28,79,21T,21,AF1QipNG6W0i17Q-VM-w6wkrd8SPa1f4hLgktZhrqvPZ,https://lh3.googleusercontent.com/pw/AP1GczNBtoxz0NZKO1GQkkBBbmuVuV_Vacj059y-MN2_mP6pjx9Ntf-krINUkdjIAK55M5evpbU5r4QOIsDmRFnh6EIiC0XWEN-NCrmX98pHE6B2M8pKQ7Yc,local/non_tomato_species/images/79_AF1QipNG6W0i17Q-VM-w6wkrd8SPa1f4hLgktZhrqvPZ.jpg,0,"1,2,4,5,7",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_21T_79_AF1QipNG_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_21T_79_AF1QipNG_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_21T_79_AF1QipNG_label.jpg
2026-02-28,80,22T,22,AF1QipPTRenQMhPx39xK37cc9nA5xBE66nR9bwAbJES1,https://lh3.googleusercontent.com/pw/AP1GczMLPeN8IUwWRqHr4BaBHArP10nNUNAX9T_bPLUiJLZ5VcXFDxuUM9_iIiE0MM_xVINP4f-KK-bl2L4qSoNCQ2cARUaWrxERdbG-1viEwFPbJUoUqJZ7,local/non_tomato_species/images/80_AF1QipPTRenQMhPx39xK37cc9nA5xBE66nR9bwAbJES1.jpg,0,"2,4,5,7,10",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_22T_80_AF1QipPT_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_22T_80_AF1QipPT_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_22T_80_AF1QipPT_label.jpg
2026-02-28,81,23T,23,AF1QipPEad0ggMJvfwykUpjpTn0KZfxf_TPTkVf04nqY,https://lh3.googleusercontent.com/pw/AP1GczMUkUmj6wZaG7NPARmUEvzhg3AtSf7OeEdAl-m9TsCi-ZAbgEzMnkHpqwsmJs30nepIywAgETqVqsAX83Mee4TENp6Ms106gBrgO6H7mV_WDRv0yOBS,local/non_tomato_species/images/81_AF1QipPEad0ggMJvfwykUpjpTn0KZfxf_TPTkVf04nqY.jpg,0,"2,4,7,17",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_23T_81_AF1QipPE_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_23T_81_AF1QipPE_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_23T_81_AF1QipPE_label.jpg
2026-02-28,82,24T,24,AF1QipNOzHkk4-QYEg_3emd3syx5Z1IN3w8aJct-UBNI,https://lh3.googleusercontent.com/pw/AP1GczOUhpQASK2RXNQ5HZwWbOC6AiZhXQllbMIhfVv5fR0LwbnyyncfTnGDLi9GeNpat0i2SSOjAFceWNVJxWKNWpcbaeOYNA1VkfbLfMYIKln2mWAn6Pnz,local/non_tomato_species/images/82_AF1QipNOzHkk4-QYEg_3emd3syx5Z1IN3w8aJct-UBNI.jpg,0,"2,4,5,7",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_24T_82_AF1QipNO_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_24T_82_AF1QipNO_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_24T_82_AF1QipNO_label.jpg
