priority_rank,pot_id,variety_name,tracking_readiness,focus_score,pot_coverage,spill_in_pot_ratio,neighbor_spill_ratio,chlorosis_ratio,growth_delta,capture_date,source_asset_id,photo_url,overlay_path,crop_path,labeling_note
1,22T,Gold Dust,high,0.896,0.087068,0.00522,0.00327,0.00379,3.115912,2026-03-11,AF1QipPTGXQz_qzQvx7dGczyaadsT6nfDoWOX2Zs3E_d,https://lh3.googleusercontent.com/pw/AP1GczP1Iy1K8wXUNhzUdhMm7CUOJETQ2Xgy_HiCJSY9pysSovQl24SLGXNDvJ9yYco7CWUQ9lvLUxV4oglQvbuz6zNF-T8dCrSWk37IQ_zdarTzZaq_Raqf,assets/v1-10-pot-cv/22t_af1qipptgxqz_qzq_overlay.jpg,assets/v1-10-pot-cv/22t_af1qipptgxqz_qzq_crop.jpg,Best starter mask candidate: high readiness with low in-pot spill.
2,14T,Waimea Wild Cherry,high,0.883,0.104557,0.007297,0.006426,0.123464,1.162413,2026-03-11,AF1QipNlu1ohiyTrQkbVwdijteBJv-ABufY21PPAMjUm,https://lh3.googleusercontent.com/pw/AP1GczOe2AFDHW1VU2N_mZf-FLLRhb-7CSp4yLbntCC8fwX4oM3B6kMI_dgVQrT0gq6wHiFNoIjXxr9_G6wVXcjIl1EoNJvpqcD9S4NUjnbQWvt9CZ4YZXwj,assets/v1-10-pot-cv/14t_af1qipnlu1ohiytr_overlay.jpg,assets/v1-10-pot-cv/14t_af1qipnlu1ohiytr_crop.jpg,Best starter mask candidate: high readiness with low in-pot spill.
3,8T,Iles Yellow Latvian,high,0.844,0.107456,0.026061,0.022882,0.158,,2026-03-11,AF1QipOEEWa3kQCf6FT6eQgYgnX_Zo76_0kN-KGLqvLs,https://lh3.googleusercontent.com/pw/AP1GczOdXtRw9sF1kQPtv8b5rMcW2y49JQC_SskbjVZCkLgQR936gI9fgNJ8vSXxzPvtesSYkHGAO9c3SiA5ME4VWNNV-yaadFSrHMm37vkn0EIR0IvLjILL,assets/v1-10-pot-cv/8t_af1qipoeewa3kqcf_overlay.jpg,assets/v1-10-pot-cv/8t_af1qipoeewa3kqcf_crop.jpg,Best starter mask candidate: high readiness with low in-pot spill.
4,27T,Taxi,high,0.788,0.119332,0.0,0.0,0.023611,,2026-03-11,AF1QipMRHF5v4p8ZyaYStSKU3X0GFWeOWk2QmC8eROc_,https://lh3.googleusercontent.com/pw/AP1GczPtPvSErb6CrsIVDgipA3GpASWLUMAfM6h-qjN-ejX-1o0JEF236SB0057JqsiIC-rHKJJIIeP6u9I1uieBVLXYJ4eMG7UcROIphfgmqZqJKaogQtsL,assets/v1-10-pot-cv/27t_af1qipmrhf5v4p8z_overlay.jpg,assets/v1-10-pot-cv/27t_af1qipmrhf5v4p8z_crop.jpg,Best starter mask candidate: high readiness with low in-pot spill.
5,19T,Azoychka,high,0.732,0.051104,0.066945,0.054288,0.18748,0.815546,2026-03-11,AF1QipP0I6pITmxKH5QgZOss3HAJ2nAxKMLAhTEDRmtV,https://lh3.googleusercontent.com/pw/AP1GczMawlS_a1hf3rIkIxhy4wzxu4-tfLQnXf6yhDnUwqrE_jWWraJJUdw40K1woEBAOEXM1RiJn_3LeGrlvYurvc6FwFc4hv9z3XzXJHWi0oSVwltZZYoL,assets/v1-10-pot-cv/19t_af1qipp0i6pitmxk_overlay.jpg,assets/v1-10-pot-cv/19t_af1qipp0i6pitmxk_crop.jpg,Best starter mask candidate: high readiness with low in-pot spill.
6,16T,Sasha Altai,high,0.724,0.169625,0.0,0.0,0.067364,0.331008,2026-03-11,AF1QipPu7gHVsU2gfK3RC3TBy5eQ63UUjRSSjy7SOZvL,https://lh3.googleusercontent.com/pw/AP1GczMnqfV_qIKrgkFVwFZMoVqqcA7XV61u6YlBoaUNRX3-kjvA6_1vuk1hN4HlEheHSOJuimCQlpULxxfCNHSRGHj3_xx3uS9BDs81iSFMNavf5Ztc0zOC,assets/v1-10-pot-cv/16t_af1qippu7ghvsu2g_overlay.jpg,assets/v1-10-pot-cv/16t_af1qippu7ghvsu2g_crop.jpg,Best starter mask candidate: high readiness with low in-pot spill.
7,2T,Nikolayev Yellow Cherry,moderate,0.578,0.044809,0.314125,0.451773,0.184054,,2026-03-11,AF1QipM3SQB7-6uddH56hVUC9pAPbi6rGebeje4WbBdk,https://lh3.googleusercontent.com/pw/AP1GczNkfdsB1NdXp9EfIfx7n3vJchtOSJKwhw_49REybzEuMUcnU1IdkbS9dbTh5zymqIvDoDWZ8k8gVo9wJxclJ2Q0v1VUIY7GZtf_N9YH6gcfwiQzKT2u,assets/v1-10-pot-cv/2t_af1qipm3sqb7-6ud_overlay.jpg,assets/v1-10-pot-cv/2t_af1qipm3sqb7-6ud_crop.jpg,"Usable for mask labeling, but confirm pot edges against nearby foliage."
