run_date,row_index,source_asset_id,pot_id,pot_number,matched_variant_count,ensemble_numbers_detected,label_numbers_detected,non_label_numbers_detected,label_match_any,non_label_match_any,label_variants_with_digits,non_label_variants_with_digits,proxy_root_cause_class,proxy_root_cause_reason,label_crop_path,center_crop_path,full_crop_path,photo_url,label_crop_exists,full_crop_exists,label_crop_has_label_manual,full_crop_has_label_manual,detected_numbers_source_guess_manual,manual_root_cause_override,manual_notes
2026-02-28,59,AF1QipPdG_T6UaPwBUD1RGWtW2icgq6HQUXJSBMzrBw0,1T,1,0,"2,3,4,5,7","2,3,4,5","4,7",0,0,1,2,ambient_numbers_no_pot_signal,OCR saw digits but none support expected pot identity,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_1T_59_AF1QipPd_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_1T_59_AF1QipPd_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_1T_59_AF1QipPd_full.jpg,https://lh3.googleusercontent.com/pw/AP1GczNJQ-lqly7-xBJ-l34F-wgErqItgEtx7-7CaLyjI7FkCJU-NXgSR86F9c8HgKc3vDVpkymmkNt4D87lIXHp_Hpx85mztsw8x2UK0QdMuuyvnNpnjmxI,1,1,,,,,
2026-03-01,94,AF1QipONKQXPCi8_IMuBZYIiNLRXP-o8Gm7HXKwK_kb8,3T,3,0,"1,2,4,5,7,13","1,2,4,5,7","4,7,13",0,0,1,2,ambient_numbers_no_pot_signal,OCR saw digits but none support expected pot identity,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_3T_94_AF1QipON_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_3T_94_AF1QipON_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_3T_94_AF1QipON_full.jpg,https://lh3.googleusercontent.com/pw/AP1GczOjxb3VTYDP4apb8qaPNHif6bNia1CApVumcC_nFSwI4AaiF7m6Nn2NsEZ4EJsWwYQV2NoueJNTZx6mB9XhxPo4wnX1Rf8Ijm2xelUZOcrUWqmVwiBi,1,1,,,,,
2026-02-28,60,AF1QipPanucT93rePbK9xX_BQVLGL0wKqkUC2oQVjCNj,2T,2,0,"1,3,4,5,7",7,"1,3,4,5",0,0,1,3,ambient_numbers_no_pot_signal,OCR saw digits but none support expected pot identity,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_2T_60_AF1QipPa_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_2T_60_AF1QipPa_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_2T_60_AF1QipPa_full.jpg,https://lh3.googleusercontent.com/pw/AP1GczNxLKVf8Mn_Q_8H3wON3bIAD1FR5BppmWTUUo-KY6ayeqvUNED5Fs6uKVIkOC8-ilnilHUGkj37VCm-b1u6Tgan_zIiaSElNmxu5UHTjumExEpnIpPc,1,1,,,,,
2026-03-01,96,AF1QipN5UGDUBJE_TdMqBxwaVvmSpxhobGE5Jpp5IE9M,5T,5,0,"4,7,24,25","4,7","4,7,24,25",0,0,1,3,ambient_numbers_no_pot_signal,OCR saw digits but none support expected pot identity,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_5T_96_AF1QipN5_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_5T_96_AF1QipN5_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_5T_96_AF1QipN5_full.jpg,https://lh3.googleusercontent.com/pw/AP1GczN-QrU86g_vGhvYt_AcK9ymDlO731h82WXc9_EquF9I5Ni-5s5olT88XoQSyHZb7QqMuveSPB5KloXjsZmwrxWREwSulLqA0nCOg1GI-s9KxqpRpfVY,1,1,,,,,
2026-02-28,63,AF1QipPubP7Cfb9shgNI4FKnCnkt3v85xCt7AsTwt7S6,5T,5,0,"1,2,3,4,7,27","1,2,4,7","3,27",0,0,1,2,ambient_numbers_no_pot_signal,OCR saw digits but none support expected pot identity,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_5T_63_AF1QipPu_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_5T_63_AF1QipPu_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_5T_63_AF1QipPu_full.jpg,https://lh3.googleusercontent.com/pw/AP1GczMrotArG2N2Zxz7La5MVYV5pjHMDgQr7yCU229yKNevYqyjTNUXHQ0lXtrGIssYmB_Lp-_H7LWmpl_87Z4K2WB80jYWQXa5Nz4NN2YwSKSbXDNNsdTz,1,1,,,,,
2026-03-01,97,AF1QipMF9sn-jl1cee6mjqNHlog2czXKVlISGoQ3Ubpd,6T,6,0,"4,7,20,32",4,"4,7,20,32",0,0,1,3,ambient_numbers_no_pot_signal,OCR saw digits but none support expected pot identity,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_6T_97_AF1QipMF_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_6T_97_AF1QipMF_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_6T_97_AF1QipMF_full.jpg,https://lh3.googleusercontent.com/pw/AP1GczNZ4eLtsGM2w1T9vYzfNGbpl-dx3_LrqYbWbx4qEr3LnIvavgNs_xSNMkrk8jIC8Wri_Fl6JrrJ7zeVxOp2LXuU5wPYzmsPPbO0EHR9zv2Y69zerHVT,1,1,,,,,
2026-02-28,64,AF1QipO0FF9Lbn43TXTt13Dwd5iLZtqrkOBABwpAla08,6T,6,0,"2,5,7",5,"2,7",0,0,1,2,ambient_numbers_no_pot_signal,OCR saw digits but none support expected pot identity,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_6T_64_AF1QipO0_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_6T_64_AF1QipO0_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_6T_64_AF1QipO0_full.jpg,https://lh3.googleusercontent.com/pw/AP1GczM6bc1F-B2201LBBcQ1R5xYlONlTPuwvHw-1b853scHZaFhcpUTjbEnv20T4TH7cLE-fne0q8v3rKhrKlvxdDCclsmyWwEqhim6od-OCBqfTRCJ0GzG,1,1,,,,,
2026-03-01,99,AF1QipPhpVFmWxOEuSQR2TvDy31tpDiVeCfEW7xvZ-XF,8T,8,0,"2,3,4,5,6",4,"2,3,5,6",0,0,1,2,ambient_numbers_no_pot_signal,OCR saw digits but none support expected pot identity,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_8T_99_AF1QipPh_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_8T_99_AF1QipPh_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_8T_99_AF1QipPh_full.jpg,https://lh3.googleusercontent.com/pw/AP1GczOBrjXaAkGQnGWS6uMfbvXd4giAtnWN_Ro7dtvLxrkvkEksaaGZkb918F4tHiTMI5e9yfFp1wNJQEN7q_mXqZg15IPW8uRTg6kc603xtoGvugaFhzsC,1,1,,,,,
2026-02-28,66,AF1QipNa_4m2EBDAlOxdIjS7hFZ5qQC7FzMHuKmo7-xM,8T,8,0,"2,3,4,5,6,7,12,17,24","4,7","2,3,5,6,7,12,17,24",0,0,1,4,ambient_numbers_no_pot_signal,OCR saw digits but none support expected pot identity,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_8T_66_AF1QipNa_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_8T_66_AF1QipNa_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_8T_66_AF1QipNa_full.jpg,https://lh3.googleusercontent.com/pw/AP1GczNZ14SytXrEOxI8P9lyQ3iPkimLtQ5de-L2-bbt5f_XzQ4qIvW7DF-UyByeHuN3biTzW5wSf2IV1fCPhIAxWdFOuSi-vbZRQT3US7cUh4QHK7bH2EYn,1,1,,,,,
2026-03-01,100,AF1QipPldk2El80lEMg_Qr66OZPGZxAbsZxvishUE3-J,9T,9,0,"1,2,3,7,8,20,34","2,3,8,34","1,2,7,20",0,0,1,3,ambient_numbers_no_pot_signal,OCR saw digits but none support expected pot identity,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_9T_100_AF1QipPl_label.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_9T_100_AF1QipPl_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_9T_100_AF1QipPl_full.jpg,https://lh3.googleusercontent.com/pw/AP1GczNPI3I1AA_SyjXAZKaC5Gc7l6R1X6I7dWe2Nb_jagtqIsEM4LVpD7FOpO2w7AXF-Lnvr7Ku8Y0jgMDggLTudDKmOYTX8LLxoowl174lW6FQ0zBHRGud,1,1,,,,,
