run_date,row_index,source_asset_id,pot_id,pot_number,matched_variant_count,ensemble_numbers_detected,numbers_detected_count,signal_tier,signal_reason
2026-02-28,88,AF1QipMA1KNHY-BkzEndCV8bbb6VSo3d5vNcieos4-_i,30T,30,0,"2,4,5,7,8",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,89,AF1QipMy07ShH1PZZKTwlfyeihWHhK1NMzrXYVSMKX9H,31T,31,0,"2,3,4,7,10,23",6,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-02-28,90,AF1QipOiBi50K5TwISV3rtRgP2GIQC4IT7UbtiGN28Ps,32T,32,0,"2,4,6",3,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,94,AF1QipONKQXPCi8_IMuBZYIiNLRXP-o8Gm7HXKwK_kb8,3T,3,0,"1,2,4,5,7,13",6,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,96,AF1QipN5UGDUBJE_TdMqBxwaVvmSpxhobGE5Jpp5IE9M,5T,5,0,"4,7,24,25",4,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,97,AF1QipMF9sn-jl1cee6mjqNHlog2czXKVlISGoQ3Ubpd,6T,6,0,"4,7,20,32",4,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,99,AF1QipPhpVFmWxOEuSQR2TvDy31tpDiVeCfEW7xvZ-XF,8T,8,0,"2,3,4,5,6",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,100,AF1QipPldk2El80lEMg_Qr66OZPGZxAbsZxvishUE3-J,9T,9,0,"1,2,3,7,8,20,34",7,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,101,AF1QipNFZYgGKp96GQBJvPiceJkI9oGSrC_wGANBW2k0,10T,10,0,"2,3,4,5,6,8",6,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,102,AF1QipO7W2pN3c33A9wClBCqibHYq2XJWWvddu6-RpW0,11T,11,0,"3,4,7",3,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,103,AF1QipMEigYtOwhL_C95lD_lFzuoM0HMCr9nCD0IRESF,12T,12,0,"2,4,7",3,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,104,AF1QipOhYJcCoCZr_58gSMaWN4XAB7M7uA5yv4FEuA96,13T,13,0,"2,3,4",3,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,105,AF1QipMftd2LaOGx35hX4kWjqA2BG7mi6NWiRccLjuvg,14T,14,0,"1,2,4,5,6,7,8,9",8,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,106,AF1QipMlDWAyXeRWIe3KWeJCi6t9m4_wa4XmUhbO_AsK,15T,15,0,"2,3,4,7,9",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,107,AF1QipOGPBWReL0e_Ykaa8eX7oI_w4OKFJDwkqSMMoKe,16T,16,0,"2,3,4,5,6,7,8,13,23",9,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,108,AF1QipPLCyDAleHo2_nt-__XsKFOIh2SjDXDR696Wmg5,17T,17,0,"2,3,4,7,8",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,109,AF1QipOZiy5y7_33Jvu12eWe2DdZTMDPeaGKMf7H_tAj,18T,18,0,"4,5,7,8",4,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,110,AF1QipNl9bjSllfGIMqq_I6YAGvLlwroxGMRRLQ9gbae,19T,19,0,"1,4,6,7,14,21,23,37",8,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,111,AF1QipNNpu3YZ1UVaOR35aRRxZ_8wAOjK2tP4TrWgZ-H,20T,20,0,"2,3,4,5,7,9",6,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,112,AF1QipPdDYoXnKvUZ-vuRoks5NUKsGYYGdS92h76ZjIV,21T,21,0,"1,3,4,5,6,7,9",7,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,113,AF1QipN6EbEkElMPz1tBBEdWJJiKFC5F6DzJ7M4y9bfp,22T,22,0,"2,4,7,8,15,19",6,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,114,AF1QipM7uGtne1p4U2UIb9xxZ4cwvrs-yi0r6F7CEf8g,23T,23,0,"3,4,6,7",4,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,115,AF1QipPWBkqL4v5NLJ1PiJyG15nio0wI2mF4tBFBbnrg,24T,24,0,"2,3,4,6",4,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,116,AF1QipMtLrJPK0faCkX-3VID6XidGCN3fBR-dfPYm_vb,25T,25,0,"2,4,6,7,18,21,22,32",8,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,117,AF1QipPMXsRVMDxz3y0VfHmgSpsS4GQhzWS3PhtW06tN,26T,26,0,"1,2,3,4,7,9,25",7,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,118,AF1QipNLP1nQE3N8XGORp7XYFHkzwanTKBkrM2RxhHSf,27T,27,0,"1,2,5,8,22",5,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,119,AF1QipMFmFE2zSwwItqtCu8Avz54TuW5eH9s8-LcxJUB,28T,28,0,"1,2,3,4,5,7,17,23",8,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,120,AF1QipOBM5hLAYFlc1Fa8LN6Ueb4kynLjeQFj_VpFDmd,29T,29,0,"2,3,4,6,7,8,15",7,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,121,AF1QipMKVt0V5Rpl_ydwPD3DUF2hl7claC-uEj4b4U0C,30T,30,0,"2,3,4,5,9,28",6,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,122,AF1QipPorTuz5ALiHEJAM2Lpu1_jlheLOS1Rbw_jFR9n,31T,31,0,"3,4,5",3,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
2026-03-01,123,AF1QipMp6DlOsKFVOGtUIHKsjh3bItpP7ppIW8ZY0nW9,32T,32,0,"4,7",2,TYPE_III,OCR Match Variants is 0; suggestion is sequence/continuity placeholder
