seed_rank,queue_priority_rank,seed_priority_score,pot_id,variety_name,tracking_readiness,focus_score,pot_coverage,neighbor_spill_ratio,spill_in_pot_ratio,chlorosis_ratio,growth_delta,capture_date,labeling_note,seed_note,overlay_path,crop_path,photo_url,source_asset_id
1,1,0.817,9T,Iles Yellow Latvian,high,0.799,0.056796,0.0,0.0,0.174627,,2026-03-06,Best starter mask candidate: high readiness with low in-pot spill.,Cleanest seed example. Trace the pot interior and target canopy as the reference style.,assets/v1-10-pot-cv/9t_af1qipn_v-8gf1t8_overlay.jpg,assets/v1-10-pot-cv/9t_af1qipn_v-8gf1t8_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczNrLlzx4SuS_8SY8V40sXR5YQV6vjREs7iieCLUHiGyyc9pgljRvlVT1lp5HwJztlW1-DlsjqfioXtSearokvTw18dKeRD01h7Z9ebp2-ECvisdJOf9,AF1QipN_v-8gF1t8JLOu3c3GA-03DP05nOfafcdZXwid
2,2,0.812,28T,Nikolayev Yellow Cherry,high,0.779,0.066964,0.0,0.0,0.045168,,2026-03-06,Best starter mask candidate: high readiness with low in-pot spill.,Cleanest seed example. Trace the pot interior and target canopy as the reference style.,assets/v1-10-pot-cv/28t_af1qipm8st9nke2y_overlay.jpg,assets/v1-10-pot-cv/28t_af1qipm8st9nke2y_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczMoavcbzM9j1g3itxTRfcVLyjV1W8ZJdC_XncQLp8MR03kAI1eQHyt8BISb2rp74vIhZ6uCxmShk1cJFANYI8EWL6Lyq-R-GiZ8tJkC9s741vljLVvb,AF1QipM8ST9NKE2YtbhcjSvnihVUCKw2phJip6d8lajU
3,4,0.668,5T,San Francisco Fog,moderate,0.632,0.079169,0.31429,0.234774,0.051311,,2026-03-06,"Usable for mask labeling, but confirm pot edges against nearby foliage.",Usable but not perfect. Keep the mask tight to the target pot and exclude obvious neighbor spill.,assets/v1-10-pot-cv/5t_af1qipomnthekulw_overlay.jpg,assets/v1-10-pot-cv/5t_af1qipomnthekulw_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczOXd3EB-ArnpXnHkZ9LCUcAMtSGAVHNVPzdSsA5UpJbgqtzByW1XwytHlJkL67TNQxruk6C3mDolOvcABnjkxNhg4QEF2e0iYQYVYB57QnPqbYkUKze,AF1QipOmNtHeKULW2k0u_PoGYCVCiIZ8gYT3ahhfs0Lr
4,3,0.647,6T,San Francisco Fog,moderate,0.673,0.024598,0.213907,0.24566,0.157165,,2026-03-06,"Usable for mask labeling, but confirm pot edges against nearby foliage.",Usable but not perfect. Keep the mask tight to the target pot and exclude obvious neighbor spill.,assets/v1-10-pot-cv/6t_af1qipmxzk67tzzu_overlay.jpg,assets/v1-10-pot-cv/6t_af1qipmxzk67tzzu_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczMmFohkR_utcfYFlvrpzXjLvmucPmFP6cuUSZAJySA1HD0mWKsAvtzJY0BGrQ2CsvOqtDd6z-RX4MzA4qcHdKLVDkwHaQUl60NszkzoLxqtE-ECyGJh,AF1QipMXZK67TZZUJ6foJusGUlAr1u_06CYi_mEwXLAv
5,5,0.626,7T,Sasha Altai,moderate,0.622,0.024197,0.150552,0.192271,0.0,,2026-03-06,"Usable for mask labeling, but confirm pot edges against nearby foliage.",Usable but not perfect. Keep the mask tight to the target pot and exclude obvious neighbor spill.,assets/v1-10-pot-cv/7t_af1qipo4_hkq404q_overlay.jpg,assets/v1-10-pot-cv/7t_af1qipo4_hkq404q_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczNiSp9-ZP-ZPUNp0ohgYIehr51Y_ZV-BKoqjBZGnqmrE1h67D95z6EcrHtxNqlT60TkZAgBubknHjvKL-ePIUGPZN75gOD5Eq4WsQwP7OBB2NOIUz9E,AF1QipO4_hkq404qd0F8SNncyQvr1te4atDMUYBZiPe-
6,6,0.620,18T,Sunset's Red Horizon,moderate,0.592,0.056608,0.357373,0.247195,0.039027,0.755124,2026-03-06,Label this pot to unlock a cleaner longitudinal growth baseline.,Usable but not perfect. Keep the mask tight to the target pot and exclude obvious neighbor spill.,assets/v1-10-pot-cv/18t_af1qiponn8lm1v0e_overlay.jpg,assets/v1-10-pot-cv/18t_af1qiponn8lm1v0e_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczMvO7ib05rajoBH1GkHYNGJMPH_kDzXZgR5RCwDweohoW9BRWTJ9bDVtSj3IKlcg37kz5se6Fpo-ck2XuGOrR5bh52mf5lS8tmtjrjICb-XdnQeVHeI,AF1QipOnn8Lm1V0Ew5dKxUAcnBUzoatx00LuKa2HM3DY
7,7,0.610,19T,Waimea Wild Cherry,moderate,0.578,0.05822,0.449605,0.255405,0.073789,1.068353,2026-03-06,Label this pot to unlock a cleaner longitudinal growth baseline.,Usable but not perfect. Keep the mask tight to the target pot and exclude obvious neighbor spill.,assets/v1-10-pot-cv/19t_af1qipog3myuxchd_overlay.jpg,assets/v1-10-pot-cv/19t_af1qipog3myuxchd_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczNknElT1LVCJ9KV8dgvWrcS-Z8JcmRKG2sRDvCesr6jxghiZx3uMFcmFMIJ6kPY9iAQhMAtcyvF3vCPTszVgRerEDedpfG8bo3ElUDuvQsGyyEWCJLM,AF1QipOg3MYUXCHDAoLXBklAam592lCj5JCtFHIquil6
8,8,0.576,4T,San Francisco Fog,moderate,0.56,0.048252,0.396191,0.311221,0.049296,,2026-03-06,"Usable for mask labeling, but confirm pot edges against nearby foliage.",Usable but not perfect. Keep the mask tight to the target pot and exclude obvious neighbor spill.,assets/v1-10-pot-cv/4t_af1qipnx5fwycezs_overlay.jpg,assets/v1-10-pot-cv/4t_af1qipnx5fwycezs_crop.jpg,https://lh3.googleusercontent.com/pw/AP1GczPh7RUHlPu0jrNE39eXwGoahenm7_lble2CRAs8fblwealX_xadI5XD027KUCL2nlcIjWS6wU1O1Sdp_hwKi_-f99T9_z75qW8VC2gpYMWT6dpOlLNl,AF1QipNx5FWycEZSxZzb900dxF7JTQbuzpQMwPAWE3E9
