run_date,context_id,row_index,source_asset_id,capture_date,captured_at,photo_url,classification_label,pot_id,packet_number,variety_name,species_common_name,labeling_method,confidence,lifecycle_stage,potting_date,day_one_photo_date,day_since_potting,experiment_day,final_status,review_stage,resolution_source,review_status_label,mapping_status,mapping_note
2026-03-07,context_default,380,AF1QipPoYxURwE0nYQqKywP9R14wWlq9soonHoWhUwRq,2026-03-07,2026-03-07T18:21:01.707000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNMcCLcmB8-s0H0ZOXBoFzupxdh3zjSyVGHPd8SBZysuPcwVgwQedgtgY4A8VKeTEFmu5WKUqXK8L09IRpc1-8hRAn2o6tT8vX9h5aT8thYYhRoXnR0,unknown,1T,7,Sunset's Red Horizon,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,11,11,ready_auto_resolved,none,manual_override,Ready (Auto-Resolved),ok,pot_id_inferred_from_run_sequence; label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override
2026-03-07,context_default,381,AF1QipM2j0757RK-XwOzvYgMrMVHmjBMd19lSimJCS-p,2026-03-07,2026-03-07T18:25:14.371000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMMk-MSkfnHEJYNOQjqHEOGQNQZt5z4oq6zW6RoBqBjhs7Et3xRttID5QkFPCGHwADXjsfruNCrtVrbWtrqugQhf4qr-s743UaIYZSxMeitrbFb7RL6,unknown,2T,4,Taxi,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,11,11,ready_auto_resolved,none,manual_override,Ready (Auto-Resolved),ok,pot_id_inferred_from_run_sequence; label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override
2026-03-07,context_default,382,AF1QipPqQQJGVQjaBAmZo_UfKd1c2BLCCzJqokYh7QKI,2026-03-07,2026-03-07T18:25:22.623000-08:00,https://lh3.googleusercontent.com/pw/AP1GczP5Q7ozGB16P6cABj2fC4k_ApPd--FfOSw1GEUhjeSbsVyy863KVUKGiF8kYoIZ6SXfRT9xfkzWK-B2Q5EC-rRoJiSAJ_M4Qzh2RGhY-LIhZ9DrscEP,unknown,3T,7,Sunset's Red Horizon,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,11,11,ready_auto_resolved,none,manual_override,Ready (Auto-Resolved),ok,pot_id_inferred_from_run_sequence; label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override
2026-03-07,context_default,383,AF1QipOHj6ISbQRphljiiq4YVGoea4IlthdM-7O2plcf,2026-03-07,2026-03-07T18:25:24.166000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMKevU1YVCbK6BD7DQtVbHp5-99u25X6XgLGIX0ApvAXCSg7tXE3V4jIr7WS3PdTRMYC17_T2M5QHAy3omy51oQW_tU738KA5p2J5-8NYBoFUn6qqRq,unknown,4T,1,San Francisco Fog,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,11,11,ready_auto_resolved,none,manual_override,Ready (Auto-Resolved),ok,pot_id_inferred_from_run_sequence; label_not_tomato_run_assumed_tomato; ocr_confirms_pot_number; variety_from_series_number_map; series_from_manual_pot_override
2026-03-07,context_default,384,AF1QipPcKhcZ99vktKKiXzfBK6Uqun3D6lX0lq4ApIVS,2026-03-07,2026-03-07T18:25:28.745000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNsxwQ2JCd7IjBlkfKBmwMdTl5_B3HOQ4NJVy_A8KF0mrSmYwZBEmd6q3hKYhkTDDKazJAPSG-yGIsZjCTCbA0AXZFIDLZeXgEl7qXukSQkV5z-1J62,unknown,5T,1,San Francisco Fog,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,11,11,ready_auto_resolved,none,manual_override,Ready (Auto-Resolved),ok,pot_id_inferred_from_run_sequence; label_not_tomato_run_assumed_tomato; ocr_confirms_pot_number; variety_from_series_number_map; series_from_manual_pot_override
2026-03-07,context_default,385,AF1QipN3AQwMJeUuR9DC0J_gi1eMaKy9EyI4OjBpN6jI,2026-03-07,2026-03-07T18:25:33.250000-08:00,https://lh3.googleusercontent.com/pw/AP1GczOCrjIVOwxHZussHo-CF1LbPhFFijhlq0lHTSe2g2Zv5jxge-zJt5gQuTjE8WUtk6e4yQcBHqXf5t2D4aB37ULggf30iw3ZMwAjWQB68-v1e24RBcKC,unknown,6T,1,San Francisco Fog,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,11,11,ready_auto_resolved,none,manual_override,Ready (Auto-Resolved),ok,pot_id_inferred_from_run_sequence; label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override
2026-03-07,context_default,386,AF1QipMgYhjP5YYDwdEu6iWdaCXKuvbqw6v40GCrgGqi,2026-03-07,2026-03-07T18:25:38.905000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNIUM6wd1Cnj7ioLx1wmakbEsnwTpkz6FH5rZ4rf7HZya-zOyipMiTjuIdPfBs29C1dAnidrUuweoYjlE_-_uUIcGy_viDOW94FPS-9yhuTGa66FT6Y,unknown,7T,9,Sasha Altai,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,11,11,ready_auto_resolved,none,manual_override,Ready (Auto-Resolved),ok,pot_id_inferred_from_run_sequence; label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override
2026-03-07,context_default,387,AF1QipM-mssgk7jWFgaig81mZSnGt1r-D9_f0z_xhNf1,2026-03-07,2026-03-07T18:25:44.618000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPCZbnFITfv1AGOhGJH3UGnx6UkRt7EJ-CqezL682i0rrx6unlbfzqJEucbMIn-cDQZelPuewtTidgoVLnrVMXh9QiURTY8GGvMlVBorwk2QWOJVhzI,unknown,8T,3,Iles Yellow Latvian,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,11,11,ready_auto_resolved,none,manual_override,Ready (Auto-Resolved),ok,pot_id_inferred_from_run_sequence; label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override
2026-03-07,context_default,388,AF1QipNSl22roFmZinoz1TJQ1TbyWlfL4ztMyZRXpJ-3,2026-03-07,2026-03-07T18:25:46.051000-08:00,https://lh3.googleusercontent.com/pw/AP1GczOiZjKCUp5ZFKuN4bN2QQMOohUpV8niunAu7xwTZvKBuTqpLjR_uZG4D2KvAARNjW3x53RjSONZgOTW83ZZWvvKvWkLsEpNuTO6Km0fCdTKuv06KgKi,unknown,9T,3,Iles Yellow Latvian,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,11,11,ready_auto_resolved,none,manual_override,Ready (Auto-Resolved),ok,pot_id_inferred_from_run_sequence; label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override
2026-03-07,context_default,389,AF1QipO3Sv9VTXp38HQrgAg5znQ521Rl-FgCP2HeDis9,2026-03-07,2026-03-07T18:25:53.159000-08:00,https://lh3.googleusercontent.com/pw/AP1GczN7hqTCEnuzRGE7XEHD2qa2GB0XNG0Sdz_7luMHBtN2m2fnWH6y_gt28THbdgXjTNy76jiqQvKjeHV64EZhdveEDAqKAcL5GCy-0v9cEKskxPRiLqPl,unknown,10T,3,Iles Yellow Latvian,unknown,ocr_unresolved,0.4,sapling,2026-02-24,2026-02-25,11,11,ready_auto_resolved,none,manual_override,Ready (Auto-Resolved),ok,pot_id_inferred_from_run_sequence; label_not_tomato_run_assumed_tomato; variety_from_series_number_map; series_from_manual_pot_override
