album_title,album_id,album_url,album_url_with_key,album_short_url,photo_index,source_asset_id,photo_url,width,height,capture_ms,captured_at,capture_date,timezone_offset_minutes,uploaded_ms,uploaded_at,device_make,device_model,owner_key
K's Tomato Trails 2026 - Intake,AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw?key=bl8tY0JCLXRpRWRGZ3FWVkR6V19GWTByMk40MG1n,https://photos.app.goo.gl/wrqeeAChDiFQWiG18,11,AF1QipOD-4JZKFoLLmop8kf5UrZVgFK997FlrUV2bfDK,https://lh3.googleusercontent.com/pw/AP1GczPWQ8DfLtfo_a0nXO3jTa4v-JDZMGawgo8AuOgEZTRTHpORPZJsPsN_BbkYTiWRXkO0XaR5JY3ZsIuYC3j-2EB0-WSbAwClkoiJ6t9ltUB5e-uE388H,3072,4080,1772060881793,2026-02-25T15:08:01.793000-08:00,2026-02-25,-480,1772062927824,2026-02-25T23:42:07.824000+00:00,,,AF1QipPjcbzSdXlKR3_29-VWnVRIMviJ
K's Tomato Trails 2026 - Intake,AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw?key=bl8tY0JCLXRpRWRGZ3FWVkR6V19GWTByMk40MG1n,https://photos.app.goo.gl/wrqeeAChDiFQWiG18,12,AF1QipOFj7AJ4wBEzoSghT-FmoK39t8yyzYEN5BeNu8N,https://lh3.googleusercontent.com/pw/AP1GczPERxghxAmrYvnJhRkc6N01Mqge0DcfCKrHP_KrnZ-hCSJS0hMfe-DAW1tVhOc8iVOmRnzphNCTErjtHfUC3vx43EgCsxfPCn7WWIXNCbbQA0wqPlYB,3072,4080,1772060912646,2026-02-25T15:08:32.646000-08:00,2026-02-25,-480,1772062927824,2026-02-25T23:42:07.824000+00:00,,,AF1QipPjcbzSdXlKR3_29-VWnVRIMviJ
K's Tomato Trails 2026 - Intake,AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw?key=bl8tY0JCLXRpRWRGZ3FWVkR6V19GWTByMk40MG1n,https://photos.app.goo.gl/wrqeeAChDiFQWiG18,13,AF1QipNPL4nt2YpB_XIcQzYhO655wqvWMHRH-KHmtrYL,https://lh3.googleusercontent.com/pw/AP1GczP1g64yXnEjN4EMpwF1V2O6xgmsYAs9ttj1xVDDUVGsq1RYg1b0x-KydO-ZOzc3jyw_rl_FNyUMN69tD1R3v5PQTNWMH5j7THrio2r2dZ6-_txuJM2l,3072,4080,1772060932048,2026-02-25T15:08:52.048000-08:00,2026-02-25,-480,1772062927824,2026-02-25T23:42:07.824000+00:00,,,AF1QipPjcbzSdXlKR3_29-VWnVRIMviJ
K's Tomato Trails 2026 - Intake,AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw?key=bl8tY0JCLXRpRWRGZ3FWVkR6V19GWTByMk40MG1n,https://photos.app.goo.gl/wrqeeAChDiFQWiG18,14,AF1QipOKLGjadxmA3cB21dGUO7lBOdTQURwF1BvGZdiR,https://lh3.googleusercontent.com/pw/AP1GczPm9-YeIg_h_p3Kyn-0ehAv4IoH6sZurgEBC4m0Ss0W0L3LkJ5UEGD2om0hcw4n8YvhWu7LnKzle7CLTo5YpFOPi8DCWUJEWjcuEGbuepnrU2842U9W,3072,4080,1772060951414,2026-02-25T15:09:11.414000-08:00,2026-02-25,-480,1772062927824,2026-02-25T23:42:07.824000+00:00,,,AF1QipPjcbzSdXlKR3_29-VWnVRIMviJ
K's Tomato Trails 2026 - Intake,AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw?key=bl8tY0JCLXRpRWRGZ3FWVkR6V19GWTByMk40MG1n,https://photos.app.goo.gl/wrqeeAChDiFQWiG18,15,AF1QipN2YoB1bCy4GtnTmb14BMvYRBvSTUZ2eqDUQChh,https://lh3.googleusercontent.com/pw/AP1GczO0v1TDxsnW-7uz_wgBh4hhnvWYYFD_07GhGv-NALPVgOHQkxjjIAmKE69yPzs21iY7DbeI9TPdrHPzPVG6O5EzfYsbkE641dtLcUD2SAidxVb5XcQ5,3072,4080,1772060963522,2026-02-25T15:09:23.522000-08:00,2026-02-25,-480,1772062927824,2026-02-25T23:42:07.824000+00:00,,,AF1QipPjcbzSdXlKR3_29-VWnVRIMviJ
K's Tomato Trails 2026 - Intake,AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw?key=bl8tY0JCLXRpRWRGZ3FWVkR6V19GWTByMk40MG1n,https://photos.app.goo.gl/wrqeeAChDiFQWiG18,16,AF1QipOLVxSyli52QM5HMEqdgY_3saaI5bYdnoJgIolG,https://lh3.googleusercontent.com/pw/AP1GczP5jqwsEP0C4Ytq5xjtD59107Gy1jqJy3JSDKkyUfEc-oFnZnvF5fnD_Xeg6HLWO6yI1Co4oyk_p6EX60-hyfkQDWLP4RJWbDhMjJDsqlaI-8fcloV2,3072,4080,1772060976700,2026-02-25T15:09:36.700000-08:00,2026-02-25,-480,1772062927824,2026-02-25T23:42:07.824000+00:00,,,AF1QipPjcbzSdXlKR3_29-VWnVRIMviJ
K's Tomato Trails 2026 - Intake,AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw?key=bl8tY0JCLXRpRWRGZ3FWVkR6V19GWTByMk40MG1n,https://photos.app.goo.gl/wrqeeAChDiFQWiG18,17,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,https://lh3.googleusercontent.com/pw/AP1GczOT17BKW-sfNkNNhmrA30AVJBEFDuJQ5xHEvo4y_96i-wgZVy5wqWasExh8AXPBdor6Q0Be9wF7JmN0z0na2IWEY1tBG8IN5gMvH-FOeYZK4QBU-MA7,3072,4080,1772060989993,2026-02-25T15:09:49.993000-08:00,2026-02-25,-480,1772062927824,2026-02-25T23:42:07.824000+00:00,,,AF1QipPjcbzSdXlKR3_29-VWnVRIMviJ
K's Tomato Trails 2026 - Intake,AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw?key=bl8tY0JCLXRpRWRGZ3FWVkR6V19GWTByMk40MG1n,https://photos.app.goo.gl/wrqeeAChDiFQWiG18,18,AF1QipP1dMtVzUEgy1xAa-BPODBu3C8Mv1MxdVczHmsv,https://lh3.googleusercontent.com/pw/AP1GczP8DJ9tE-Q_EmBoGpO-cEJZCYM3XUEEFwitCqI9PEfTT8_4hx0uI5UzWgPj6hqSDp0Lqiob8ZKezlVvJLYtEnciMrIqpAHE9IN6qPF_lK4D7JmfHPcy,4080,3072,1772061003936,2026-02-25T15:10:03.936000-08:00,2026-02-25,-480,1772062927824,2026-02-25T23:42:07.824000+00:00,,,AF1QipPjcbzSdXlKR3_29-VWnVRIMviJ
K's Tomato Trails 2026 - Intake,AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw?key=bl8tY0JCLXRpRWRGZ3FWVkR6V19GWTByMk40MG1n,https://photos.app.goo.gl/wrqeeAChDiFQWiG18,19,AF1QipNjCXO2DCyYSPo8z8XBD0Ec50YkcouPnONL4iMi,https://lh3.googleusercontent.com/pw/AP1GczMxb7DsDhsL11aNsPvQHYmE3NqPJ0kGBGWmCx-t0j9FL_0o2iRFy2N10rBlGx4XN-ofymZOCy54A0JUkt0LXgNbkRVFWAzdDqSq-Q8WYBUQE0GUMykk,4080,3072,1772061024254,2026-02-25T15:10:24.254000-08:00,2026-02-25,-480,1772062927824,2026-02-25T23:42:07.824000+00:00,,,AF1QipPjcbzSdXlKR3_29-VWnVRIMviJ
K's Tomato Trails 2026 - Intake,AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw,https://photos.google.com/share/AF1QipN50rYDjE5ovlCnEP3GSRkv4PGB_DU_8cxFeQWgyeU8HCAlMulrbJkU-zqxCvxuJw?key=bl8tY0JCLXRpRWRGZ3FWVkR6V19GWTByMk40MG1n,https://photos.app.goo.gl/wrqeeAChDiFQWiG18,20,AF1QipOWtl-WwkecNu9F9l_igA2_xjUTX61phekqUISY,https://lh3.googleusercontent.com/pw/AP1GczPmacGu7fZK_lV9h9M9ZeiHU0vdAwCeLAs5jC-UTtAcMj8emS46A-Nc3QtXCK1CKeQoWHmtZZc4cwmTOUw3AAK67rI6UR5oLplX7jECu7r1s-GgW05U,4080,3072,1772061037277,2026-02-25T15:10:37.277000-08:00,2026-02-25,-480,1772062927824,2026-02-25T23:42:07.824000+00:00,,,AF1QipPjcbzSdXlKR3_29-VWnVRIMviJ
